Pou5f1,Klf4,Area
335,154,59395
387,83,70946
364,56,52077
446,43,63939
413,152,58521
334,49,49514
388,103,72420
334,108,40425
624,99,52348
479,101,38935
566,128,64546
1259,476,2.04E+05
647,225,85996
286,153,36734
221,14,24506
367,18,30547
706,45,52387
334,38,32846
347,32,38070
382,47,46944
374,75,32427
444,30,36186
264,12,51163
143,34,58892
332,89,54684
343,82,38852
366,106,30874
255,62,25342
353,49,28668
252,119,31328
112,26,37972
418,154,35564
184,62,26465
489,105,39682
398,31,36412
432,64,40603
284,67,39911
200,50,49764
400,68,38826
231,17,30171
331,66,39111
678,102,54759
598,168,59233
277,57,23958
640,121,49229
303,43,28848
782,153,79650
404,82,32400
426,91,41097
511,70,56204
337,65,35134
367,68,34524
155,31,18355
352,39,26732
181,87,26503
445,101,32648
407,52,31298
429,70,36621
306,89,27672
745,182,71388
401,113,36889
301,20,38365
138,56,21974
254,22,20527
240,95,58030
457,41,41006
169,115,27117
150,71,23538
299,107,38806
420,133,40385
359,80,38287
403,43,66967
357,79,43241
410,36,57093
110,6,37878
640,122,65598
176,95,65308
218,35,33962
290,82,30910
352,96,34612
273,53,40972
592,64,50267
107,72,25384
484,50,54720
643,64,57820
596,52,50792
734,99,49845
520,59,37897
783,39,58615
564,14,46626
485,24,38775
349,21,51967
83,29,34203
170,54,53372
489,74,53252
283,13,28449
442,10,39593
343,43,27750
667,41,53866
720,66,69761
280,56,31767
304,13,59202
504,79,62891
512,23,74691
322,81,46913
521,48,72794
633,97,90608
366,21,84374
441,116,65201
367,71,55787
413,164,82638
441,116,65201
367,71,55787
413,164,82638
731,134,75487
511,66,52142
845,58,1.01E+05
340,25,45615
589,108,63639
659,39,70749
523,165,67402
518,121,69320
520,90,50584
787,54,64171
777,53,1.27E+05
64,5,58225
569,126,1.01E+05
405,2,92480
364,145,52262
733,84,57276
472,96,70754
1124,155,1.34E+05
261,26,53866
601,50,53403
478,174,62157
420,26,38274
465,157,85663
467,98,63759
428,98,69294
481,154,57907
893,152,70849
150,46,41801
582,22,45526
732,94,57008
145,53,26230
490,45,37267
256,35,42905
