Pou5f1,Notch1,Area
21,24,42297
17,11,54446
38,19,43371
16,6,31579
372,20,46675
179,2,54544
423,4,50124
92,9,39618
528,6,72127
333,12,48370
385,4,54609
328,8,46014
288,13,84904
487,12,79895
308,1,63628
480,8,74289
349,7,45133
281,6,36095
350,5,49187
365,7,39097
723,10,77784
520,10,57189
251,4,46720
566,12,78070
356,5,87176
558,18,77853
448,17,91252
561,12,64490
569,3,69390
584,5,65304
425,1,50945
432,34,99917
460,18,93515
273,6,57796
631,18,74968
483,25,56872
507,21,57262
477,14,58008
418,10,49772
494,13,83616
256,1,52315
345,16,67936
616,14,67383
429,7,49201
567,5,49787
429,10,55658
295,3,32621
498,6,55035
732,15,84125
514,10,64337
463,7,51765
626,15,86760
533,6,83292
511,10,73190
796,15,71546
368,4,47205
535,16,89617
450,3,71804
738,35,87879
500,3,82080
437,8,49786
509,9,55806
606,21,91030
562,10,84994
371,15,68471
439,2,63616
587,22,1.40E+05
286,3,65949
261,9,1.05E+05
330,14,44867
431,3,44262
401,8,35190
329,7,27414
460,5,37250
341,3,50630
395,11,48333
325,4,59586
416,15,53264
593,6,69180
498,10,79982
326,7,54809
420,4,71052
432,13,59805
333,1,46792
599,4,59777
618,3,91730
228,4,60778
363,6,82889
550,9,94182
383,9,82086
262,4,44257
409,9,63136
242,6,36058
385,12,46781
273,4,38393
293,3,49547
480,5,50878
594,11,57432
400,15,42263
615,10,59956
368,4,37517
327,12,47788
