Pou5f1,Klf4,Area
252,73,42981
274,48,52234
283,74,56027
441,133,70869
352,117,81106
459,95,50828
246,61,39110
250,30,40568
271,98,31942
244,22,29296
397,51,54064
259,17,28703
378,74,42945
376,101,45247
262,34,29138
168,28,23813
378,104,47099
285,130,37796
271,55,33024
149,8,33298
462,176,43503
334,114,54784
296,91,49136
300,40,35815
285,102,55449
326,70,55410
319,48,55988
324,7,44234
181,35,30876
113,22,19542
116,31,22784
202,34,24804
224,26,33884
218,59,43166
116,19,27765
252,33,33935
140,10,28205
340,107,42587
311,72,37057
154,21,24276
253,28,44513
118,10,37607
343,43,46591
313,24,67874
197,57,30711
268,66,49965
192,67,25296
429,43,44820
257,52,27520
298,39,28971
479,61,46444
301,63,69680
306,65,66359
361,12,76686
241,47,57503
187,17,50266
345,67,89101
401,34,1.09E+05
231,60,64553
265,19,43993
325,11,51886
305,87,63172
414,83,61691
351,109,54464
261,48,52948
254,56,55851
235,42,36138
280,42,56291
310,61,37546
291,33,36909
307,57,45853
404,123,41179
244,42,35210
288,116,48855
428,93,81788
115,17,62014
246,59,67652
359,111,60502
285,47,57626
295,23,50702
278,57,38176
181,39,36071
253,47,41412
481,113,55236
224,46,40997
292,74,41832
372,36,43957
334,88,41329
271,85,41742
281,65,33814
258,89,39227
265,98,43625
446,52,56922
374,75,38454
429,134,1.10E+05
260,41,71740
406,55,99970
284,46,61169
640,85,94174
431,30,58904
279,39,47287
240,9,31824
742,128,93046
354,61,60831
149,25,26415
622,128,1.45E+05
306,70,90419
622,128,1.45E+05
306,70,90419
329,33,49854
425,88,70757
264,86,50319
300,24,51138
487,176,1.26E+05
319,77,71242
182,58,53682
370,60,74459
344,127,76421
338,87,63847
298,45,41267
287,109,30508
215,36,32221
279,40,33024
235,44,29950
192,22,30656
398,111,62728
391,54,53027
279,53,35184
191,57,32807
287,34,42125
325,66,45001
442,109,54869
239,133,41731
311,50,49527
288,42,52402
249,80,32051
302,62,48191
201,78,43542
159,7,30047
315,60,50504
262,68,36675
344,29,39753
298,58,49486
377,107,70650
311,77,62307
239,45,62196
257,48,28836
275,94,31278
373,128,43882
166,8,28892
203,27,28451
591,95,72048
525,44,51924
267,105,40537
211,28,28660
281,25,42255
276,48,44337
377,105,61565
308,49,62316
240,54,36189
256,106,52228
269,52,52362
221,43,31490
281,73,38563
301,25,44667
456,142,53671
197,14,22086
