Sohlh2,Hormad1,Area
17,21,21871
29,16,26694
24,14,31083
35,106,29398
8,9,13304
18,18,26743
19,4,14801
7,10,19372
33,8,20758
14,31,28551
38,25,29377
18,18,27280
9,24,28318
5,2,20738
25,30,33024
0,8,23450
30,4,17138
9,31,39669
27,8,26906
3,9,17064
11,5,18637
24,11,21198
3,7,20943
11,2,21570
8,9,23345
5,14,31149
19,12,21268
24,13,23158
10,19,25116
23,12,29989
5,4,19605
9,10,19619
4,14,33583
20,6,30915
26,8,20136
3,6,19680
0,0,16846
8,3,23724
14,28,24985
0,0,26746
0,0,23241
12,21,24497
27,17,28484
11,19,29590
22,19,29509
28,11,25452
12,4,25882
12,10,19394
2,5,32899
14,1,19789
17,10,22606
12,2,20158
16,16,32927
9,6,22793
8,4,19729
10,1,23287
19,4,36579
7,14,23772
25,11,39493
15,3,25074
3,4,24810
17,13,26482
10,37,30469
1,13,24796
17,1,20671
0,6,18695
1,5,22250
22,8,23914
3,4,24810
17,13,26482
10,37,30469
1,13,24796
17,1,20671
0,6,18695
1,5,22250
22,8,23914
5,17,29585
27,11,24294
36,30,35156
8,7,23557
15,8,21079
24,19,25560
7,22,25011
1,1,15986
4,7,28591
17,5,22142
14,18,23111
13,18,23613
6,5,29749
28,11,23958
3,2,18899
10,11,26665
14,11,25547
14,4,30845
2,7,21796
11,3,24296
32,9,44815
15,40,38812
26,5,45687
6,9,23623
1,2,28086
1,2,21611
0,21,30006
13,23,20658
5,6,25610
9,14,25295
15,3,19123
20,23,33181
7,2,31978
21,28,33756
20,6,35260
20,11,23261
30,10,30697
27,11,30196
21,4,23415
11,7,28767
14,17,42981
25,7,29046
18,14,29487
4,3,17753
15,10,28292
9,1,34797
14,13,37702
1,15,33901
45,0,40221
11,13,21293
38,9,29239
0,5,19605
36,37,31230
15,13,34629
11,12,20671
2,3,35553
17,16,26158
32,29,41909
12,5,20147
6,12,34082
8,28,30617
7,1,23702
4,4,22017
7,16,35983
13,4,25296
10,12,34451
19,5,35062
1,1,26662
3,12,29769
9,3,32478
39,36,39906
19,7,24533
34,6,30129
23,18,31537
16,13,39315
6,8,25203
6,0,16542
10,45,30304
14,2,26024
4,16,21885
16,7,30224
2,21,25371
23,1,14890
33,17,32449
16,21,26269
8,7,22606
12,23,33734
37,9,27725
15,24,36705
16,22,28657
13,20,31016
55,49,37383
3,4,29358
0,5,39742
16,5,37615
6,4,28616
24,21,27304
3,10,26744
3,3,24282
27,27,46976
26,14,38354
23,6,37836
7,12,38262
20,16,34353
28,6,49148
4,3,33212
10,11,32645
14,16,41669
19,12,50785
47,17,38535
2,1,40215
17,26,34348
21,25,34849
20,7,28239
2,4,28407
9,28,38559
12,20,36463
