Sohlh2,Hormad1,Area
7,2,41912
1,3,38940
4,22,35413
22,24,51121
10,1,38033
9,8,24491
8,5,38926
7,2,31214
27,8,41842
4,2,45239
9,4,37959
24,13,34397
17,22,41214
36,4,40486
11,6,30432
6,2,29384
6,55,59369
8,42,42719
1,32,50241
13,5,45342
5,3,28083
6,8,42083
36,7,37765
24,8,44005
12,4,39761
2,7,49708
12,1,40148
12,2,39596
22,1,34665
49,30,78366
18,9,55533
11,20,76502
17,4,67101
6,8,65425
18,6,32715
21,5,28745
2,7,34107
3,16,28569
7,42,35965
1,1,42973
38,22,49623
17,11,36426
15,15,42350
29,29,59453
10,5,76315
7,2,37426
8,47,52929
0,4,40470
11,5,36067
5,3,37015
17,7,26041
14,0,37288
1,13,52747
15,6,66763
2,13,47780
26,1,49832
18,5,44625
0,8,35497
7,7,44271
21,16,58449
8,3,33055
2,8,41038
17,0,29129
16,9,24043
30,22,26961
36,20,31632
12,7,37804
10,16,33539
4,0,26917
13,0,38795
5,11,43849
8,0,25787
19,37,29439
39,3,27789
28,14,74382
1,3,28128
22,5,38578
9,3,32463
7,22,50127
4,12,38416
2,6,31323
17,6,53808
3,6,41984
4,2,42559
9,8,37383
6,2,30943
45,36,75341
35,6,56046
21,16,64596
13,5,52684
22,4,38656
5,7,43138
4,12,36513
14,13,35763
18,5,35492
3,15,33111
