Sox2,Area
156,1.08E+05
238,1.65E+05
209,1.19E+05
59,72898
315,1.57E+05
78,47211
165,62572
198,77035
58,36343
157,50529
139,66674
58,36343
157,50529
139,66674
236,59885
139,44292
215,1.55E+05
198,66898
95,77671
106,30698
84,42947
121,55046
113,50493
328,62589
92,61805
153,67310
186,61509
68,55724
92,45532
131,59096
80,49229
125,61467
95,45518
78,1.19E+05
109,81417
59,38957
51,33608
56,29994
42,41084
162,55781
65,44713
41,37235
61,61278
125,94772
161,1.14E+05
89,85317
64,57770
90,67582
54,84012
184,98692
23,88565
150,1.56E+05
45,42923
110,68379
63,54562
67,57603
118,2.13E+05
191,2.09E+05
58,57485
158,96446
146,84898
58,57485
158,96446
146,84898
142,1.57E+05
159,1.50E+05
142,1.57E+05
159,1.50E+05
116,2.39E+05
76,1.67E+05
85,51794
68,77030
74,48144
92,48213
169,45811
