Sox2,Pou5f1,Area
79,206,28699
136,358,36897
126,274,39421
125,235,26947
165,421,41836
2,108,29801
68,143,30840
169,184,33552
131,249,47141
72,80,36162
27,45,24046
86,176,31331
84,108,23367
187,119,29961
60,129,33331
97,108,27690
172,171,34531
114,112,21076
102,75,22865
112,77,29716
133,318,42302
38,192,32556
119,284,40450
109,118,23833
180,204,32324
137,141,31083
160,316,47568
48,132,33052
211,281,49460
105,153,37263
136,134,33532
163,185,41221
210,291,46414
33,30,21837
68,95,27391
213,150,37839
165,132,38185
135,75,32883
115,61,33755
77,65,24812
121,123,24181
219,198,40441
125,108,29827
109,197,20188
96,198,25800
94,154,24237
117,202,35595
65,109,23247
205,199,36593
194,293,43237
105,78,22653
111,289,27890
116,75,33879
133,102,28739
89,136,27031
144,179,35288
201,157,35157
64,160,29726
94,150,19723
126,155,29712
129,101,22932
72,170,27455
241,212,34553
210,229,34891
145,102,26024
100,207,22745
202,127,30385
171,341,33147
118,195,27720
107,181,27606
112,139,18900
160,99,27734
123,151,31548
75,75,21681
103,181,25859
72,122,24269
48,180,24695
93,168,33116
260,590,52209
224,276,49549
158,209,37219
187,310,37810
188,249,40835
47,152,25084
172,184,34824
123,106,34415
144,82,28035
131,102,39050
221,97,41795
204,286,46988
82,93,28710
80,79,29935
139,156,23111
118,90,20141
228,125,36166
108,127,30547
65,101,23478
133,140,38527
117,107,32632
116,61,25162
79,206,28699
136,358,36897
126,274,39421
125,235,26947
165,421,41836
2,108,29801
68,143,30840
169,184,33552
131,249,47141
72,80,36162
27,45,24046
86,176,31331
84,108,23367
187,119,29961
60,129,33331
97,108,27690
172,171,34531
114,112,21076
102,75,22865
112,77,29716
133,318,42302
38,192,32556
119,284,40450
109,118,23833
180,204,32324
137,141,31083
160,316,47568
48,132,33052
211,281,49460
105,153,37263
136,134,33532
163,185,41221
210,291,46414
33,30,21837
68,95,27391
213,150,37839
165,132,38185
135,75,32883
115,61,33755
77,65,24812
121,123,24181
219,198,40441
125,108,29827
109,197,20188
96,198,25800
94,154,24237
117,202,35595
65,109,23247
205,199,36593
194,293,43237
105,78,22653
111,289,27890
116,75,33879
133,102,28739
89,136,27031
144,179,35288
201,157,35157
64,160,29726
94,150,19723
126,155,29712
129,101,22932
72,170,27455
241,212,34553
210,229,34891
145,102,26024
100,207,22745
202,127,30385
171,341,33147
118,195,27720
107,181,27606
112,139,18900
160,99,27734
123,151,31548
75,75,21681
103,181,25859
72,122,24269
48,180,24695
93,168,33116
260,590,52209
224,276,49549
158,209,37219
187,310,37810
188,249,40835
47,152,25084
172,184,34824
123,106,34415
144,82,28035
131,102,39050
221,97,41795
204,286,46988
82,93,28710
80,79,29935
139,156,23111
118,90,20141
228,125,36166
108,127,30547
65,101,23478
133,140,38527
117,107,32632
116,61,25162
209,237,50261
227,228,53624
125,148,36379
75,156,35907
97,212,39728
78,147,110850
148,351,141980
71,216,34386
79,88,30736
220,265,37151
102,125,25652
76,87,19859
151,191,31641
145,182,30865
58,124,35093
85,121,40310
75,202,74348
133,139,51207
50,42,41184
215,189,38207
84,75,39956
98,250,38720
10,56,28381
138,316,32690
56,173,29801
160,337,38390
68,249,27142
119,86,24341
90,54,21960
194,179,42750
150,131,21545
164,115,25522
36,101,15699
138,94,23428
76,112,29431
61,54,20661
77,245,33228
178,210,39566
100,108,29612
129,107,32051
191,93,29023
56,40,26482
139,133,51007
154,104,44460
126,191,53263
87,177,33990
129,86,35386
118,234,39333
40,89,14524
40,71,22187
231,304,45302
91,83,32118
167,196,43707
102,186,35620
179,209,37338
70,177,46516
134,117,38315
111,188,51512
131,223,68720
147,182,57969
245,364,60017
224,129,56822
75,161,47953
300,464,97899
165,280,46154
107,77,30125
85,129,23677
174,264,43885
126,175,34119
199,169,32844
237,248,42772
70,111,29874
132,142,32311
47,59,25466
81,110,37612
86,68,31267
