Stag3,Gli2,Area
5,3,30860
9,5,28474
11,12,36892
14,6,28381
12,13,24925
21,17,42537
14,7,28477
26,14,45718
33,8,39658
8,11,44267
12,14,42010
17,23,47351
33,28,52826
3,7,28063
4,2,31375
2,4,38547
24,2,26599
7,4,46587
14,5,55005
4,5,22720
10,18,31905
5,12,23345
10,15,25262
3,15,26660
6,10,30391
16,12,32473
4,12,22904
7,12,35636
15,21,33741
6,12,24821
3,5,18786
5,3,27832
12,7,28264
8,9,32595
10,20,32380
12,10,36077
12,9,22801
0,6,38979
7,8,39010
5,1,20323
24,12,40243
8,14,47995
8,1,30998
5,12,28030
11,15,36537
11,11,29152
23,13,32918
22,36,50666
24,15,47571
12,6,31403
8,13,35743
9,6,20290
14,13,28317
29,15,52186
13,18,44102
6,8,37688
10,9,37914
13,31,41055
30,13,45741
8,9,27993
10,31,43595
30,7,39276
10,1,29958
1,3,26403
8,10,22262
6,14,33834
15,25,36063
35,27,38980
7,5,29991
3,5,17541
21,10,39934
24,28,40723
14,2,21816
37,35,49187
5,5,22485
8,3,28320
8,14,31827
23,14,42445
10,13,26936
17,20,32154
17,11,28225
20,22,31287
6,9,22421
10,16,32654
13,15,27123
29,21,32219
29,14,30969
12,1,30232
8,9,25204
18,18,35511
34,16,37180
34,16,34038
2,11,22229
13,24,35845
19,15,38199
1,2,19887
5,10,21104
15,6,26062
17,8,25644
10,14,27988
6,15,27207
17,29,34777
6,8,23326
17,12,29350
8,7,21294
23,16,35810
6,2,20897
1,3,27329
16,6,26684
7,10,19062
10,12,30382
1,8,18172
18,5,24316
18,14,23797
8,11,24199
22,13,26096
18,9,24609
13,5,19944
21,11,27831
10,20,29146
13,17,38079
4,5,18013
30,10,34736
1,12,25169
2,4,24511
3,2,29046
5,4,22797
12,7,30215
4,18,36830
19,8,26775
7,2,26252
0,8,18356
0,6,14683
3,5,24653
4,15,30835
9,12,32372
30,33,33496
4,11,28303
14,12,30670
19,40,41466
24,9,31015
4,7,27614
9,1,24099
12,9,23482
15,0,22596
9,23,30133
3,14,23133
8,15,29478
22,6,27270
1,6,21375
4,2,18430
17,7,25632
10,11,31464
8,10,27661
8,10,20940
8,5,17711
4,6,19732
11,9,28110
7,7,27226
21,5,21318
12,12,32685
10,20,28713
12,12,23855
18,14,59924
6,2,30263
11,2,28786
4,5,37448
27,11,34072
18,8,52401
10,16,28970
11,32,38614
25,18,35213
23,21,33268
10,30,30826
5,5,27801
19,9,33069
11,2,25828
4,7,22148
9,1,17069
18,19,38926
8,7,17981
10,11,24910
29,29,38734
3,31,35926
10,2,21815
12,8,22242
14,9,35202
13,15,36988
4,10,19318
11,17,31295
11,10,20022
4,2,22355
17,3,20367
8,5,18796
7,2,23755
3,5,21830
22,0,27960
17,15,28602
19,4,29545
18,3,22211
20,8,27795
10,8,23534
13,8,23188
13,6,27011
5,0,19963
8,4,17825
9,2,18705
8,5,17153
5,3,15320
23,15,27592
24,2,31163
13,5,19641
11,22,35456
11,9,25189
7,2,22410
1,7,17081
12,13,31884
8,6,22903
13,5,25056
16,20,28965
22,33,43375
