Stag3,Gli2,Area
41,16,43924
21,15,41859
16,8,50476
8,5,24821
13,7,55973
48,16,82890
10,13,74396
55,26,97970
20,4,64925
10,10,75794
9,11,65745
3,35,86434
13,11,45392
13,9,31610
15,19,47152
9,10,34828
24,22,53811
1,2,31862
13,6,41014
15,0,29392
39,23,52225
35,7,27352
35,23,45824
8,3,57764
11,0,38842
16,7,44538
4,2,89625
23,40,1.16E+05
9,5,77936
13,12,41370
54,22,44709
42,11,40413
30,15,52778
34,19,79329
18,29,63622
10,3,71511
24,42,1.26E+05
1,7,71878
9,23,79128
31,21,77580
17,6,45688
47,18,78456
37,44,77066
14,11,74416
20,11,54681
24,10,73071
18,28,83016
14,36,47558
6,22,45270
26,1,34140
25,10,38491
27,24,54478
31,4,92927
34,41,1.03E+05
14,14,1.28E+05
11,8,53598
21,14,61816
26,13,52290
20,22,69920
61,20,54333
67,25,66201
19,19,81642
23,8,38530
13,12,55102
20,24,60309
18,9,51564
15,14,43081
20,14,28403
35,14,47283
28,38,50774
16,13,67087
8,8,36348
28,27,76435
16,9,64077
21,8,41976
6,9,41306
27,9,36580
17,13,46202
22,7,45545
27,9,41410
19,4,37367
25,18,47576
21,9,43742
11,32,63134
25,14,36388
20,10,34602
23,13,86684
10,21,72496
18,19,51980
6,18,69389
10,9,43565
11,2,71250
10,2,31208
14,24,40716
6,20,30507
24,19,33789
19,19,71100
8,4,60309
20,14,73257
10,15,34835
21,12,60324
15,5,44031
24,10,52536
11,18,61512
4,8,61242
21,26,44300
12,26,40696
10,14,32383
12,2,23490
6,2,39276
31,1,27600
21,6,33114
71,17,35129
45,28,40106
8,3,22130
9,16,48816
21,27,53948
44,20,56565
21,9,32900
2,18,76249
7,8,41091
16,12,36226
2,18,34376
5,34,62539
47,20,50532
5,6,25574
5,15,41686
29,11,27284
29,13,31767
25,48,38295
62,18,46483
4,13,40759
59,34,61054
5,25,29596
1,6,28783
2,3,19023
18,15,32386
28,8,38006
32,35,57048
11,1,30042
11,1,42637
23,8,50161
26,23,42379
20,19,43470
35,24,33250
24,24,29406
28,43,43556
21,24,42297
17,11,54446
38,19,43371
16,6,31579
21,24,42297
17,11,54446
38,19,43371
16,6,31579
