Tpx2,Pcna,Area
91,74,62157
137,138,75132
81,186,69035
49,114,59529
8,185,37057
37,268,48194
24,205,47198
24,176,54687
29,171,44141
26,168,38179
106,207,75861
12,23,38360
14,105,39311
63,198,40947
21,90,38910
57,154,70341
16,48,41664
72,71,60455
15,26,33150
50,34,65363
33,158,1.02E+05
80,57,61496
72,219,72461
12,124,56165
155,445,1.04E+05
59,94,55680
30,62,81718
67,90,92258
11,41,52655
27,200,60006
37,35,66262
62,299,77805
25,86,58149
56,45,58057
52,240,69635
40,168,71407
40,168,71407
40,81,68977
127,64,75504
12,88,62941
59,96,61847
80,74,78166
61,100,61529
122,192,69515
129,276,84676
22,183,48654
5,130,28981
64,186,60373
41,56,42205
42,211,54202
9,216,52133
37,205,56277
43,71,56571
27,161,47286
34,292,48397
26,119,44356
22,178,45462
59,92,45751
88,108,57620
70,170,53284
15,78,34169
66,203,59860
113,98,91032
6,27,41292
81,174,92813
68,85,54670
38,140,55139
105,197,80535
49,82,48462
89,108,90798
52,185,79829
73,206,61506
90,194,71063
68,207,82717
32,231,98726
116,253,1.24E+05
35,274,82842
120,120,1.08E+05
48,253,93321
99,81,94523
80,212,1.06E+05
159,155,1.11E+05
149,205,94316
26,180,63755
161,595,4.14E+05
82,192,74406
31,77,55030
82,58,51043
16,149,1.00E+05
160,290,2.01E+05
36,195,60744
38,117,39876
68,149,36979
54,203,38365
64,102,55100
142,319,59509
63,145,39465
124,280,88686
35,161,52340
31,145,53817
51,188,59129
68,148,76439
33,150,55209
94,187,71829
81,252,53350
101,129,61538
31,132,42822
54,169,46327
110,137,61916
143,267,71951
71,152,82162
91,278,76112
92,307,76813
58,56,81816
41,243,69096
36,134,84863
34,268,78601
41,169,54760
67,273,48163
61,172,61669
105,168,70928
28,134,52672
12,134,31707
91,273,65605
72,109,32949
9,124,41321
8,62,50222
46,210,50571
69,125,57767
32,177,39057
32,176,55264
28,216,69484
46,179,64835
149,139,81982
77,163,72677
46,178,92595
71,107,33395
12,133,35989
28,133,58300
8,121,42738
91,272,69689
69,125,62519
8,62,53465
57,233,62098
33,180,41259
31,166,57031
29,226,72043
46,178,65884
149,140,95514
46,178,1.13E+05
77,161,83498
91,74,62157
137,138,75132
81,186,69035
49,114,59529
8,185,37057
37,268,48194
24,205,47198
24,176,54687
29,171,44141
26,168,38179
106,207,75861
14,105,39311
63,198,40947
21,90,38910
