ES_1	ES_2	ES_3	ES_4	ES_5	ES_6	ES_7	ES_8	ES_9	ES_10	ES_11	ES_12	ES_13	ES_14	ES_15	ES_16	ES_17	ES_18	ES_19	ES_20	ES_21	ES_22	ES_23	ES_24	ES_25	ES_26	ES_27	ES_28	ES_29	ES_30	ES_31	ES_32	ES_33	ES_34	ES_35	ES_36	ES_37	ES_38	ES_39	ES_40	ES_41	ES_42	ES_43	ES_44	ES_45	ES_46	ES_47	ES_48	MEF_49	MEF_50	MEF_51	MEF_52	MEF_53	MEF_54	MEF_55	MEF_56	MEF_57	MEF_58	MEF_59	MEF_60	MEF_61	MEF_62	MEF_63	MEF_64	MEF_65	MEF_66	MEF_67	MEF_68	MEF_69	MEF_70	MEF_71	MEF_72	MEF_73	MEF_74	MEF_75	MEF_76	MEF_77	MEF_78	MEF_79	MEF_80	MEF_81	MEF_82	MEF_83	MEF_84	MEF_85	MEF_86	MEF_87	MEF_88	MEF_89	MEF_90	MEF_91	MEF_92
Tor1aip2	1	0	1	26	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	17	28	0	0	0	0	0	1	6	0	7	0	2	7	177	3	0	5	0	0	22	1	0	1	17	0	47	38	557	20	114	0	0	14	22	331	56	141	1446	123	171	0	134	886	67	12	74	60	160	3	273	210	64	146	175	212	237	0	13	27	160	0	0	118	1	127	250	180	156	68	76	161
Pnkd	0	0	27	1	0	13	0	0	0	2	0	0	17	0	45	0	0	4	0	0	0	4	16	0	1	0	0	0	0	0	0	0	16	0	0	40	0	50	0	0	20	11	0	0	30	0	23	0	12	0	11	0	0	48	21	17	15	0	136	112	18	0	0	25	0	0	0	93	0	0	0	39	0	0	9	0	10	0	0	0	56	188	0	0	0	0	0	43	31	168	0	57
Eef1b2	728	4	966	126	562	53	47	16	958	3033	1306	402	134	1166	742	967	107	499	780	1156	3150	828	1841	749	2135	256	1749	8	899	22	497	14	2841	571	738	664	343	1373	1320	352	621	419	459	29	924	3	2306	604	2570	594	2212	1043	224	2105	1575	594	724	2057	567	3416	5359	337	2223	1259	2661	404	1401	1524	2082	4801	1222	2121	1339	231	181	1403	1390	355	339	211	2034	693	95	1404	208	428	2606	426	1586	1912	884	4978
Cd247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	49	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Il1rl1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	55	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem183a	0	0	2	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	24	0	7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	30	40	16	0	48	0	0	27	6	23	4	26	25	67	288	0	6	0	122	0	51	46	7	19	0	24	0	0	13	64	118	4	0	0	22	0	7	18	3	2	50	50	28	126	137	53
Cnih4	1	0	0	2	0	4	0	0	0	62	55	91	26	1	19	0	0	0	0	53	34	95	0	0	14	0	0	1	0	0	24	0	72	1	21	17	0	38	0	38	0	0	0	0	12	0	31	0	11	11	31	0	0	24	603	26	30	28	73	82	4	0	91	43	26	2	0	60	190	73	10	0	22	18	4	291	15	0	0	0	81	0	0	0	0	21	5	1	106	66	78	25
Kcnk2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcr2	1	0	3	0	4	2	0	0	1	5	2	2	1	5	5	2	2	3	0	4	10	6	7	0	9	1	9	0	4	0	0	0	5	9	2	4	3	3	5	1	8	1	1	0	4	0	2	5	2	1	1	1	0	0	1	2	2	12	4	2	14	0	0	0	3	3	4	8	2	4	0	2	7	2	3	6	0	0	2	1	5	2	1	5	0	1	6	0	9	3	1	22
Cyb5r1	48	0	0	2	0	11	4	0	0	1	0	0	0	0	1	1	0	0	6	82	90	5	1	0	0	0	0	0	40	0	0	0	1	8	1	0	0	0	0	0	0	0	0	0	0	0	1	26	29	0	34	50	0	19	39	92	124	87	21	49	92	3	29	0	127	1	88	37	56	14	30	0	0	60	22	59	40	35	0	23	12	26	0	18	0	74	104	4	0	192	53	197
Cr1l	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	59	0	0	0	0	104	0	0	0	0	0	303	0	0	0	0	0	40	0	121	0	0	26	0	85	57	26	0	0	172	0	0	0	0	0	0	0	10	0	0	6
Stat1	0	0	5	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	22	0	35	0	51	0	0	0	0	0	0	21	0	0	0	0	13	0	0	0	33	0	0	21	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	2	0	0
Creb1	0	0	0	0	19	0	0	0	18	0	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	0	0	0	0	43	0	0	38	27	0	36	0	0	0	0	0	104	0	56	97	2	58	6	0	11	7	0	45	0	1	0	0	38	3	0	0	49	0	1	0	0	0
Ngef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prox1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem70	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	25	0	0	0	0	0	0	0	5	0	80	35	148	0	0	46	30	8	19	3	4	82	17	1	43	35	182	2	12	11	34	17	0	0	48	0	48	39	252	1	26	0	326	0	0	0	0	0	80	61	44	15	105	143
Fn1	21	40	55	833	21	227	268	56	23	677	91	0	25	158	40	292	87	13	69	278	708	785	229	69	339	190	217	20	681	79	30	53	185	219	228	74	5	66	89	23	328	51	107	67	258	5	510	32	9955	509	5023	10277	485	4755	16719	2818	9250	20644	24045	21637	25825	1107	16389	37224	10008	320	10569	3802	34915	2364	11569	4418	1329	4009	5690	21232	23552	4063	1492	1457	4054	515	10313	10862	889	6161	20298	33261	11021	20147	25082	20716
B3galt2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	0	0	28	1	21	0	0	0	7	125	1	23	14	0	0	0	0	0	20	139	0	0	13	24	73	0	0	0	0	2	0	0	19	5	55	16	0	35	0	0	4	1	0	5	0	0	73	0	0	0	2	22	1	16	1	23	0	48	28	31	106	0	4	0	0	0	0	0	55	8	14	31	0	5	0	55	1	32	0	0	65	0	0	0	20	0	40	50	0	17	66	23
Pam	0	0	0	3	6	0	5	0	0	8	3	0	0	0	0	0	6	0	0	0	0	16	0	0	6	6	24	0	0	0	0	0	7	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	18	0	0	144	11	0	110	0	19	82	0	66	0	54	63	92	47	43	100	0	11	47	544	98	0	45	117	161	137	0	0	0	162	0	115	83	29	58	107	0	54	106	47	238
Mybl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	7	0	0	30	0	0	0	50	0	0	1	2	11	0	5	0	0	0	0	3	0	0	0	0	10	0	0	0	0	0	23	0	0	0	0	0	0	0	57	0	0	0
Rgs8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plxna2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	26	0	21	29	0	20	0	0	0	0	0	0	3	71	62	0	10	46	0	29	0	0	0	0	0	0	2	0	0	0	0	0	32	332	0
Sf3b1	0	0	25	0	0	4	2	0	0	163	83	4	0	0	15	0	0	0	19	2	34	75	11	5	52	7	21	0	6	10	3	0	4	2	15	7	0	41	33	0	31	3	31	0	29	0	161	0	142	31	69	29	1	96	103	200	152	97	64	100	309	33	268	177	177	72	144	168	244	116	123	36	36	61	29	39	198	0	1	12	603	40	51	235	16	42	90	105	101	163	68	223
Dtymk	3	0	1	0	40	0	4	0	0	4	1	64	18	28	0	12	0	0	63	32	34	57	1	0	42	21	11	0	6	6	42	0	13	0	53	16	0	65	0	0	36	0	0	0	2	0	116	29	7	19	84	0	0	25	0	0	0	129	1	12	79	0	43	37	0	0	24	12	38	2	2	85	0	3	52	9	4	28	40	17	86	0	37	39	0	0	40	0	111	15	18	5
Nmur1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgs16	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	4	28	5	1	0	38	0	0	56	0	18	0	0	0	33	0	0	30	21	0
Pbx1	0	0	0	5	1	0	24	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	5	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	304	20	33	79	28	429	203	110	2	260	36	91	53	0	429	62	486	0	15	9	42	159	104	2	0	107	307	102	272	0	0	11	111	15	0	7	10	149	33	41	36	270	660	343
Ifi204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tada1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	20	0	3	0	0	30	2	0	0	15	0	0	0	0	9	23	0	50	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	21	0	0	246
Prss39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Irs1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	43	0	59	0	0	0	23	27	0	184	0	97	5	0	86	0	2	19	16	101	25	2	0	40	0	0	1	77	0	158	0	0	150	19	53	0	12	1	83	0	88	10	23	4
Ppp2r5a	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	13	8	0	0	0	0	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	59	0	24	0	0	57	77	0	0	93	0	0	164	0	18	8	17	0	16	104	17	0	0	49	0	0	38	27	0	0	0	22	0	0	28	0	113	0	2	0	0	157	0	89
Pou3f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm5b	1	0	30	16	1	0	0	0	0	17	66	0	8	6	0	2	2	75	24	17	83	82	88	0	0	0	30	0	49	0	5	2	8	3	0	0	0	0	0	0	7	0	5	0	0	0	0	54	239	87	7	118	0	4	140	282	194	66	47	76	130	4	284	343	382	9	71	44	5	288	49	45	10	12	329	1757	3	146	12	0	7	6	0	0	1	0	112	0	83	161	4	15
Gpatch2	0	0	0	2	0	0	2	0	0	0	3	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	4	0	0	0	0	61	0	0	0	0	0	0	0	23	9	21	37	0	3	54	0	0	42	8	10	50	0	0	0	0	29	0	16	12	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	5
