	D3T0_sorted	D3T3_sorted	D3T7_sorted	D3T14_sorted	D3T0_unsorted	D3T3_unsorted	D3T7_unsorted	D3T14_unsorted
A1BG	18	7	12	24	12	27	29	31
A1BG-AS1	10	17	26	18	10	10	12	14
A1CF	9	4	10	8	1	2	5	2
A2M	1	7	35	89	2	11	53	212
A2M-AS1	2	0	0	2	0	1	1	3
A2ML1	20	32	42	17	13	14	7	6
A2MP1	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0
A4GALT	3	2	5	8	2	5	3	9
A4GNT	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0
AAAS	54	16	21	31	49	35	31	41
AACS	30	25	13	26	35	51	28	40
AACSP1	0	0	2	3	0	2	0	0
AADAC	0	1	2	1	0	1	3	11
AADACL2	0	0	0	0	0	0	0	0
AADACL3	0	0	0	1	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADAT	21	7	16	21	23	9	4	6
AAED1	11	9	3	16	14	15	12	26
AAGAB	30	10	18	13	50	41	19	26
AAK1	139	84	125	143	64	48	42	62
AAMDC	93	32	70	94	137	89	134	152
AAMP	31	20	14	29	38	40	27	26
AANAT	2	1	5	3	1	2	0	1
AAR2	118	32	57	55	204	222	134	158
AARD	5	19	33	38	3	21	45	57
AARS	207	44	44	68	430	205	124	130
AARS2	36	18	26	27	15	16	9	7
AARSD1	64	21	40	39	110	58	61	43
AASDH	43	34	53	50	29	44	34	36
AASDHPPT	89	53	58	42	85	103	68	81
AASS	46	49	92	90	33	82	62	90
AATF	64	41	29	32	152	108	74	92
AATK	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0
ABAT	4	5	6	6	4	12	5	7
ABCA1	44	71	116	148	37	99	62	140
ABCA10	2	6	11	4	2	2	4	2
ABCA11P	17	10	17	5	14	15	14	17
ABCA12	1	0	0	1	0	0	0	0
ABCA13	23	34	57	37	28	13	9	17
ABCA17P	0	0	0	1	0	0	0	0
ABCA2	0	0	6	1	1	0	3	1
ABCA3	1	0	0	0	0	1	0	0
ABCA4	0	1	0	0	1	0	0	2
ABCA5	26	25	36	41	14	23	19	27
ABCA6	4	69	123	80	2	85	50	68
ABCA7	1	0	0	1	0	1	0	1
ABCA8	3	14	19	15	0	11	27	21
ABCA9	16	48	82	39	4	45	28	49
ABCB1	0	0	0	0	0	0	0	0
ABCB10	3	7	7	2	3	0	2	1
ABCB11	0	0	0	0	0	0	0	0
ABCB4	1	0	0	0	0	0	0	0
ABCB5	24	27	54	37	11	9	13	18
ABCB6	78	62	80	85	81	142	101	153
ABCB7	36	12	19	17	62	45	28	64
ABCB8	5	2	8	2	7	2	3	7
ABCB9	1	0	0	5	0	1	1	0
ABCC1	23	12	17	20	14	22	11	18
ABCC10	23	18	23	13	11	11	12	6
ABCC11	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0
ABCC13	0	3	9	5	2	0	0	3
ABCC2	1	0	7	5	2	6	10	19
ABCC3	15	28	14	21	10	46	19	18
ABCC4	40	12	9	15	29	26	14	18
ABCC5	32	17	28	24	19	50	25	24
ABCC5-AS1	0	1	1	0	0	0	0	0
ABCC6	0	0	4	0	1	0	0	2
ABCC6P1	0	0	0	0	0	0	0	0
ABCC6P2	0	0	1	0	1	0	0	2
ABCC8	0	0	0	0	0	0	0	0
ABCC9	104	111	192	135	46	75	68	101
ABCD1	1	0	1	0	0	0	2	0
ABCD2	0	48	62	107	0	64	45	94
ABCD3	39	21	33	30	46	42	11	24
ABCD4	32	16	19	13	17	37	14	30
ABCE1	303	64	94	105	306	223	145	252
ABCF1	177	62	115	187	349	292	226	277
ABCF2	193	77	92	93	216	211	129	137
ABCF3	16	12	12	22	16	29	13	28
ABCG1	3	1	0	4	0	0	5	10
ABCG2	0	0	0	0	0	0	0	0
ABCG4	0	1	0	0	1	0	0	0
ABCG5	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0
ABHD1	1	0	0	0	0	0	0	0
ABHD10	18	8	10	19	45	28	17	39
ABHD11	42	19	43	43	40	29	35	25
ABHD12	75	49	61	84	125	144	102	166
ABHD12B	3	1	1	3	0	1	0	0
ABHD13	69	32	38	55	72	101	57	66
ABHD14A	26	14	18	19	44	46	46	48
ABHD14A-ACY1	19	7	7	22	18	25	29	59
ABHD14B	192	69	103	99	218	326	183	184
ABHD15	14	29	53	41	9	12	15	24
ABHD16A	44	25	18	26	57	52	44	46
ABHD16B	1	0	1	1	0	0	0	0
ABHD17A	0	1	0	1	1	0	0	0
ABHD17B	12	17	34	14	5	5	8	6
ABHD17C	3	1	7	2	7	7	4	0
ABHD2	158	84	114	97	127	69	80	85
ABHD3	2	1	7	6	2	1	1	1
ABHD4	233	107	149	171	360	537	331	379
ABHD5	26	20	51	66	23	50	53	98
ABHD6	8	3	12	16	6	14	24	14
ABHD8	2	4	0	2	3	4	1	1
ABI1	1	1	3	1	0	3	0	0
ABI2	71	36	62	49	76	57	34	41
ABI3	0	0	0	0	0	0	0	0
ABI3BP	7	9	0	2	22	5	1	1
ABL1	32	14	18	17	21	25	5	24
ABL2	88	68	114	86	71	50	40	45
ABLIM1	8	18	17	5	5	44	17	16
ABLIM2	0	0	0	1	0	0	0	0
ABLIM3	5	2	0	5	13	4	6	7
ABO	0	0	0	0	0	0	0	0
ABR	29	18	11	4	22	45	14	9
ABRA	4	0	3	2	0	1	1	0
ABRACL	109	24	35	21	53	43	42	49
ABT1	50	20	16	21	51	52	37	43
ABTB1	0	0	2	1	0	0	0	1
ABTB2	2	1	5	0	1	1	1	1
ACAA1	14	14	10	18	29	39	21	26
ACAA2	239	69	132	246	263	289	316	674
ACACA	62	44	75	60	59	61	43	84
ACACB	10	20	105	220	6	25	84	262
ACAD10	32	13	24	26	12	14	10	18
ACAD11	54	41	45	52	34	41	29	47
ACAD8	17	8	14	20	11	33	19	21
ACAD9	28	9	12	7	63	31	22	26
ACADL	0	0	0	0	0	0	0	0
ACADM	98	35	41	70	107	80	85	162
ACADS	2	3	9	14	5	6	8	28
ACADSB	39	29	82	67	28	34	28	31
ACADVL	58	57	96	264	142	126	132	251
ACAN	0	0	0	0	0	0	0	0
ACAP1	5	4	5	1	5	0	1	6
ACAP2	151	60	76	77	128	92	51	82
ACAP3	3	1	3	0	1	1	0	0
ACAT1	201	76	55	108	218	203	179	218
ACAT2	260	127	110	165	278	420	269	413
ACBD3	49	12	32	9	23	27	28	26
ACBD4	13	13	21	17	7	7	13	14
ACBD5	50	25	38	39	57	25	17	34
ACBD6	141	54	51	47	160	130	97	107
ACBD7	26	34	58	42	14	14	14	14
ACCS	6	7	5	6	6	5	3	5
ACCSL	0	0	0	0	0	0	0	0
ACD	19	5	8	6	15	23	21	14
ACE	1	1	0	0	0	1	1	0
ACE2	0	0	0	0	0	0	0	0
ACER1	0	0	1	0	0	0	0	0
ACER2	0	0	1	0	3	0	0	3
ACER3	24	6	15	39	27	34	23	70
ACHE	0	0	1	8	0	0	2	2
ACIN1	266	139	196	238	322	216	204	188
ACLY	249	76	126	283	221	308	177	450
ACMSD	0	0	0	1	0	1	0	0
ACN9	47	20	27	26	32	48	45	43
ACO1	115	38	57	95	152	168	90	197
ACO2	84	21	32	77	111	123	83	192
ACOT1	58	23	35	90	44	69	74	142
ACOT11	4	1	0	2	1	0	1	0
ACOT12	0	0	0	1	0	0	0	0
ACOT13	214	74	162	139	277	227	215	256
ACOT2	77	34	40	117	94	94	95	224
ACOT4	4	0	0	1	6	0	2	9
ACOT6	0	1	2	4	0	1	2	5
ACOT7	39	4	2	9	53	7	9	13
ACOT8	12	12	9	17	40	22	35	26
ACOT9	208	28	59	66	267	119	112	119
ACOX1	183	121	187	188	159	132	189	233
ACOX2	25	8	6	18	48	30	15	26
ACOX3	13	2	9	9	46	11	12	25
ACOXL	0	1	1	1	0	1	3	0
ACP1	416	141	164	184	633	416	351	375
ACP2	12	5	4	6	16	15	10	15
ACP5	0	0	0	0	0	0	0	0
ACP6	0	0	2	0	8	3	4	3
ACPL2	5	0	1	2	5	2	1	1
ACPP	4	2	8	5	4	0	1	0
ACPT	0	0	0	1	0	0	0	0
ACR	0	0	0	0	0	0	0	0
ACRBP	0	0	0	0	0	1	1	2
ACRC	1	5	4	5	4	4	8	9
ACRV1	1	0	0	0	0	0	0	0
ACSBG1	0	0	0	1	1	0	0	1
ACSBG2	1	0	0	0	0	0	0	0
ACSF2	15	6	36	65	19	38	51	130
ACSF3	11	3	8	4	3	6	9	4
ACSL1	42	216	443	612	35	644	552	1183
ACSL3	214	99	112	130	171	245	162	183
ACSL4	155	52	64	88	108	110	86	204
ACSL5	4	1	9	28	4	14	20	51
ACSL6	17	15	42	23	5	2	8	6
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	1	1
ACSM2B	0	0	0	0	0	0	0	0
ACSM3	0	1	1	2	2	1	1	3
ACSM4	0	0	0	0	0	0	0	0
ACSM5	0	0	1	1	0	2	2	9
ACSS1	0	0	6	10	0	4	5	3
ACSS2	10	12	25	33	9	18	16	55
ACSS3	12	5	11	10	3	7	4	9
ACTA1	16	0	10	6	58	6	12	12
ACTA2	4642	370	3185	2066	22255	1744	7773	5259
ACTB	3800	349	1560	1202	4845	1289	1978	1701
ACTBL2	0	1	0	0	5	0	0	0
ACTC1	101	8	102	51	235	25	115	90
ACTG1	14564	2614	3970	4146	33866	13804	10514	8813
ACTG1P4	170	29	57	45	826	119	72	76
ACTG2	22	2	21	8	26	3	17	13
ACTL10	1	0	1	2	0	1	1	1
ACTL6A	149	59	202	130	148	171	124	122
ACTL6B	0	0	0	1	0	0	0	0
ACTL7A	0	0	0	0	0	1	0	0
ACTL7B	0	0	0	0	0	0	0	0
ACTL8	0	0	1	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0
ACTN1	456	58	107	99	672	182	193	182
ACTN1-AS1	0	0	2	1	2	3	0	1
ACTN2	0	0	0	0	0	0	3	1
ACTN3	1	0	1	0	0	1	0	0
ACTN4	135	21	44	43	130	66	75	93
ACTR10	241	89	117	135	228	258	214	177
ACTR1A	249	60	59	76	344	171	139	181
ACTR1B	16	8	12	7	23	19	9	13
ACTR2	926	153	183	184	1331	358	473	436
ACTR3	467	76	103	110	672	156	135	125
ACTR3B	4	5	5	2	2	4	3	7
ACTR3BP2	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0
ACTR3C	1	1	1	1	5	0	0	0
ACTR5	4	0	2	3	3	0	5	4
ACTR6	89	38	60	49	90	61	58	64
ACTR8	53	24	15	17	62	41	36	27
ACTRT1	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
ACTRT3	4	4	2	2	11	7	5	10
ACVR1	44	24	39	15	26	42	26	26
ACVR1B	9	9	9	6	4	5	5	10
ACVR1C	1	0	3	4	0	0	1	6
ACVR2A	139	59	145	141	83	72	95	115
ACVR2B	15	9	13	9	15	15	12	9
ACVR2B-AS1	7	19	26	16	9	4	7	6
ACVRL1	29	15	30	16	23	9	10	14
ACY1	26	8	14	18	36	23	38	100
ACY3	0	0	0	0	0	0	0	0
ACYP1	14	8	8	5	11	13	12	8
ACYP2	33	13	24	45	21	38	44	78
ADA	36	38	39	52	50	139	77	70
ADAD1	0	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0	0	0
ADAL	53	14	37	43	42	28	23	34
ADAM10	137	57	46	38	106	96	48	53
ADAM11	1	0	0	3	0	0	0	0
